scenario_id,time_s,src_uav,dst_uav,distance_m,hop_count,route_type,blocked_building_count,blocked_building_ids,blocked_attenuation_db,rssi_dbm_est,snr_db_est,plr_pct_est,rtt_ms_est,throughput_mbps_est,link_state,reconfig_trigger,optimal_relay_uav
corridor_baseline,0.0,0,1,36.004,1,direct,0,none,0,-84.44,10.56,12.588,15.921,7.719,degraded,yes,2
corridor_baseline,0.0,0,2,23.586,1,direct,0,none,0,-80.064,14.936,0.0,13.189,10.575,healthy,yes,2
corridor_baseline,0.0,0,3,44.465,1,direct,0,none,0,-85.629,9.371,17.051,17.782,5.773,degraded,yes,2
corridor_baseline,0.0,0,4,33.119,1,direct,0,none,0,-84.166,10.834,0.0,15.286,8.383,degraded,yes,2
corridor_baseline,0.0,1,2,14.652,1,direct,0,none,0,-67.317,27.683,4.021,11.223,12.63,healthy,no,2
corridor_baseline,0.0,1,3,28.451,1,direct,0,none,0,-67.838,27.162,11.907,14.259,9.456,healthy,no,2
corridor_baseline,0.0,1,4,39.604,1,direct,0,none,0,-89.947,5.053,0.0,16.713,6.891,degraded,yes,2
corridor_baseline,0.0,2,3,19.103,1,direct,0,none,0,-68.076,26.924,0.0,12.203,11.606,healthy,no,2
corridor_baseline,0.0,2,4,21.409,1,direct,0,none,0,-88.614,6.386,0.0,12.71,11.076,healthy,yes,2
corridor_baseline,0.0,3,4,28.581,1,direct,0,none,0,-81.472,13.528,4.886,14.288,9.426,healthy,yes,2
corridor_baseline,0.25,0,1,34.892,1,direct,0,none,0,-85.21,9.79,6.468,15.676,7.975,degraded,yes,2
corridor_baseline,0.25,0,2,21.875,1,direct,0,none,0,-77.143,17.857,0.0,12.812,10.969,healthy,no,2
corridor_baseline,0.25,0,3,41.928,1,direct,0,none,0,-84.517,10.483,12.3,17.224,6.357,degraded,yes,2
corridor_baseline,0.25,0,4,29.504,1,direct,0,none,0,-82.348,12.652,2.446,14.491,9.214,healthy,yes,2
corridor_baseline,0.25,1,2,18.02,1,direct,0,none,0,-65.574,29.426,2.341,11.964,11.855,healthy,no,2
corridor_baseline,0.25,1,3,27.364,1,direct,0,none,0,-68.792,26.208,9.588,14.02,9.706,healthy,no,2
corridor_baseline,0.25,1,4,43.241,1,direct,0,none,0,-89.696,5.304,0.994,17.513,6.055,degraded,yes,2
