scenario_id,time_s,connected,max_pair_hops,triggered_link_count,avg_rssi_dbm_est,avg_plr_pct_est,topology_goal_met,recommended_action
corridor_baseline,0.0,yes,1,7,-79.756,5.045,yes,promote_autonomous_relay_repositioning
corridor_baseline,0.25,yes,1,6,-80.126,3.813,yes,promote_autonomous_relay_repositioning
corridor_baseline,0.5,yes,1,6,-80.192,4.909,yes,promote_autonomous_relay_repositioning
corridor_baseline,0.75,yes,1,4,-79.13,3.44,yes,promote_autonomous_relay_repositioning
corridor_baseline,1.0,yes,1,5,-80.464,5.38,yes,promote_autonomous_relay_repositioning
corridor_baseline,1.25,yes,1,5,-78.882,3.504,yes,promote_autonomous_relay_repositioning
corridor_baseline,1.5,yes,1,5,-78.42,4.269,yes,promote_autonomous_relay_repositioning
corridor_baseline,1.75,yes,1,4,-78.71,3.988,yes,promote_autonomous_relay_repositioning
corridor_baseline,2.0,yes,1,4,-77.175,3.492,yes,promote_autonomous_relay_repositioning
corridor_baseline,2.25,yes,1,5,-77.546,6.007,yes,promote_autonomous_relay_repositioning
corridor_baseline,2.5,yes,1,5,-77.39,5.075,yes,promote_autonomous_relay_repositioning
corridor_baseline,2.75,yes,1,2,-75.683,4.467,yes,tighten_spacing_near_relay
corridor_baseline,3.0,yes,1,2,-75.864,3.68,yes,tighten_spacing_near_relay
corridor_baseline,3.25,yes,1,0,-71.371,2.583,yes,keep_topology
corridor_baseline,3.5,yes,1,2,-70.699,2.158,yes,tighten_spacing_near_relay
corridor_baseline,3.75,yes,1,1,-70.256,2.496,yes,tighten_spacing_near_relay
corridor_baseline,4.0,yes,1,1,-72.416,1.73,yes,tighten_spacing_near_relay
corridor_baseline,4.25,yes,1,1,-71.455,2.274,yes,tighten_spacing_near_relay
corridor_baseline,4.5,yes,2,4,-75.176,4.216,yes,promote_autonomous_relay_repositioning
corridor_baseline,4.75,yes,2,5,-78.289,5.856,yes,promote_autonomous_relay_repositioning
corridor_baseline,5.0,yes,2,2,-74.072,6.351,yes,tighten_spacing_near_relay
corridor_baseline,5.25,yes,2,4,-76.131,4.574,yes,promote_autonomous_relay_repositioning
corridor_baseline,5.5,yes,2,3,-73.984,2.423,yes,promote_autonomous_relay_repositioning
corridor_baseline,5.75,yes,2,4,-75.785,4.158,yes,promote_autonomous_relay_repositioning
corridor_baseline,6.0,yes,2,3,-74.173,5.437,yes,promote_autonomous_relay_repositioning
corridor_baseline,6.25,yes,2,4,-78.21,7.67,yes,promote_autonomous_relay_repositioning
corridor_baseline,6.5,yes,2,4,-75.184,8.478,yes,promote_autonomous_relay_repositioning
corridor_baseline,6.75,yes,2,4,-75.348,5.14,yes,promote_autonomous_relay_repositioning
corridor_baseline,7.0,yes,2,3,-73.65,6.795,yes,promote_autonomous_relay_repositioning
corridor_baseline,7.25,yes,2,4,-76.434,8.436,yes,promote_autonomous_relay_repositioning
corridor_baseline,7.5,yes,2,4,-74.688,8.039,yes,promote_autonomous_relay_repositioning
corridor_baseline,7.75,yes,2,3,-74.66,5.99,yes,promote_autonomous_relay_repositioning
corridor_baseline,8.0,yes,2,2,-73.878,7.435,yes,tighten_spacing_near_relay
corridor_baseline,8.25,yes,2,2,-71.383,6.163,yes,tighten_spacing_near_relay
corridor_baseline,8.5,yes,2,2,-72.418,5.788,yes,tighten_spacing_near_relay
corridor_baseline,8.75,yes,2,2,-75.443,7.537,yes,tighten_spacing_near_relay
corridor_baseline,9.0,yes,2,3,-76.384,6.42,yes,promote_autonomous_relay_repositioning
corridor_baseline,9.25,yes,1,4,-76.518,8.247,yes,promote_autonomous_relay_repositioning
corridor_baseline,9.5,yes,2,5,-77.934,9.686,yes,promote_autonomous_relay_repositioning
