scenario_id,time_s,src_uav,dst_uav,rssi_dbm_est,snr_db_est,plr_pct_est,throughput_mbps_est,distance_m,hop_count,blocked_building_count,link_state,optimal_relay_uav
asymmetric_scatter,0.0,0,1,2.69683,2.69683,-0.24129,2.238462,-1.44331,0.239099,-0.57066,0,0
asymmetric_scatter,0.0,0,2,2.838663,2.838663,-1.223583,2.164162,-1.404908,0.239099,-0.57066,0,0
asymmetric_scatter,0.0,0,3,1.739122,1.739122,-1.223583,2.153641,-1.399488,0.239099,-0.57066,0,0
asymmetric_scatter,0.0,0,4,2.436719,2.436719,-1.183313,2.174244,-1.410118,0.239099,-0.57066,0,0
asymmetric_scatter,0.0,1,2,2.601608,2.601608,-0.485779,2.238462,-1.44331,0.239099,-0.57066,0,0
asymmetric_scatter,0.0,1,3,2.77582,2.77582,-1.223583,2.238462,-1.44331,0.239099,-0.57066,0,0
asymmetric_scatter,0.0,1,4,1.387286,1.387286,-1.223583,2.128217,-1.386358,0.239099,-0.57066,0,0
asymmetric_scatter,0.0,2,3,1.400604,1.400604,-1.223583,2.045369,-1.3435,0.239099,-0.57066,0,0
asymmetric_scatter,0.0,2,4,1.490997,1.490997,-0.926674,1.944768,-1.291551,0.239099,-0.57066,0,0
asymmetric_scatter,0.0,3,4,2.532023,2.532023,-1.223583,2.219175,-1.433305,0.239099,-0.57066,0,0
asymmetric_scatter,0.25,0,1,1.87155,1.87155,-0.110237,2.198792,-1.422754,0.239099,-0.57066,0,2
asymmetric_scatter,0.25,0,2,2.642477,2.642477,-1.223583,2.101478,-1.372471,0.239099,-0.57066,0,2
asymmetric_scatter,0.25,0,3,1.367642,1.367642,-1.223583,2.007233,-1.323804,0.239099,-0.57066,0,2
asymmetric_scatter,0.25,0,4,3.054742,3.054742,-1.223583,2.229038,-1.438412,0.239099,-0.57066,0,2
asymmetric_scatter,0.25,1,2,2.791801,2.791801,-1.096522,2.238462,-1.44331,0.239099,-0.57066,0,2
asymmetric_scatter,0.25,1,3,2.459359,2.459359,-1.223583,2.172271,-1.40905,0.239099,-0.57066,0,2
asymmetric_scatter,0.25,1,4,1.049849,1.049849,-1.223583,2.114848,-1.379376,0.239099,-0.57066,0,2
asymmetric_scatter,0.25,2,3,2.244778,2.244778,-1.223583,2.208874,-1.428017,0.239099,-0.57066,0,2
asymmetric_scatter,0.25,2,4,2.041933,2.041933,-0.865313,2.092492,-1.36786,0.239099,-0.57066,0,2
asymmetric_scatter,0.25,3,4,2.110019,2.110019,-1.223583,2.18586,-1.416084,0.239099,-0.57066,0,2
asymmetric_scatter,0.5,0,1,2.571227,2.571227,-0.43787,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,0.5,0,2,1.597705,1.597705,-1.028913,1.825537,-1.229935,0.239099,-0.57066,0,4
asymmetric_scatter,0.5,0,3,1.997901,1.997901,-1.223583,2.017753,-1.329275,0.239099,-0.57066,0,4
asymmetric_scatter,0.5,0,4,1.836757,1.836757,-0.689649,2.125149,-1.384795,0.239099,-0.57066,0,4
asymmetric_scatter,0.5,1,2,3.115005,3.115005,-1.223583,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,0.5,1,3,3.299787,3.299787,-1.121171,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,0.5,1,4,0.96137,0.96137,-1.223583,2.032438,-1.336805,0.239099,-0.57066,0,4
asymmetric_scatter,0.5,2,3,2.252602,2.252602,-1.223583,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,0.5,2,4,1.975761,1.975761,-0.859845,2.109587,-1.376666,0.239099,-0.57066,0,4
asymmetric_scatter,0.5,3,4,1.35549,1.35549,-0.967899,2.009863,-1.325185,0.239099,-0.57066,0,4
asymmetric_scatter,0.75,0,1,1.465028,1.465028,-0.551479,2.030904,-1.336101,0.239099,-0.57066,0,4
asymmetric_scatter,0.75,0,2,1.206332,1.206332,-0.929451,1.724497,-1.177621,0.239099,-0.57066,0,4
asymmetric_scatter,0.75,0,3,1.807459,1.807459,-1.223583,1.837153,-1.235849,0.239099,-0.57066,0,4
asymmetric_scatter,0.75,0,4,1.657302,1.657302,-0.496975,2.122738,-1.383492,0.239099,-0.57066,0,4
asymmetric_scatter,0.75,1,2,3.129488,3.129488,-1.223583,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,0.75,1,3,3.64588,3.64588,-1.223583,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,0.75,1,4,1.0496,1.0496,-1.223583,1.99737,-1.318698,0.239099,-0.57066,0,4
asymmetric_scatter,0.75,2,3,1.24487,1.24487,-1.223583,2.159121,-1.402302,0.239099,-0.57066,0,4
asymmetric_scatter,0.75,2,4,3.271071,3.271071,-1.107718,2.236709,-1.442372,0.239099,-0.57066,0,4
asymmetric_scatter,0.75,3,4,1.761096,1.761096,-1.146774,2.016438,-1.328598,0.239099,-0.57066,0,4
asymmetric_scatter,1.0,0,1,1.620095,1.620095,-0.101124,1.907508,-1.272219,0.239099,-0.57066,0,4
asymmetric_scatter,1.0,0,2,0.16206,0.16206,-0.562241,1.69732,-1.163604,0.239099,-0.57066,0,4
asymmetric_scatter,1.0,0,3,1.742119,1.742119,-1.223583,1.609211,-1.118037,0.239099,-0.57066,0,4
asymmetric_scatter,1.0,0,4,1.376299,1.376299,-0.914002,2.080218,-1.361477,0.239099,-0.57066,0,4
asymmetric_scatter,1.0,1,2,3.348147,3.348147,-1.213776,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,1.0,1,3,3.896586,3.896586,-1.223583,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,1.0,1,4,0.511482,0.511482,-1.223583,1.915179,-1.276284,0.239099,-0.57066,0,4
asymmetric_scatter,1.0,2,3,0.390208,0.390208,-1.223583,1.859509,-1.247495,0.239099,-0.57066,0,4
asymmetric_scatter,1.0,2,4,3.658283,3.658283,-1.223583,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,1.0,3,4,1.297974,1.297974,-1.171249,1.792661,-1.21287,0.239099,-0.57066,0,4
asymmetric_scatter,1.25,0,1,1.366976,1.366976,-0.844483,1.815674,-1.224777,0.239099,-0.57066,0,4
asymmetric_scatter,1.25,0,2,-0.036707,-0.036707,-0.666303,1.751456,-1.191637,0.239099,-0.57066,0,4
asymmetric_scatter,1.25,0,3,1.504315,1.504315,-1.223583,1.661156,-1.144924,0.239099,-0.57066,0,4
asymmetric_scatter,1.25,0,4,1.602533,1.602533,-0.73964,2.10367,-1.37367,0.239099,-0.57066,0,4
asymmetric_scatter,1.25,1,2,2.434971,2.434971,-0.660314,2.199449,-1.423145,0.239099,-0.57066,0,4
asymmetric_scatter,1.25,1,3,3.775312,3.775312,-1.073089,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,1.25,1,4,0.483265,0.483265,-1.223583,1.963179,-1.301034,0.239099,-0.57066,0,4
asymmetric_scatter,1.25,2,3,0.566667,0.566667,-1.223583,2.064876,-1.353583,0.239099,-0.57066,0,4
asymmetric_scatter,1.25,2,4,2.891517,2.891517,-1.223583,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,1.25,3,4,0.78516,0.78516,-1.151894,1.84855,-1.241789,0.239099,-0.57066,0,4
asymmetric_scatter,1.5,0,1,1.086473,1.086473,-0.897425,1.515185,-1.069474,0.239099,-0.57066,0,4
asymmetric_scatter,1.5,0,2,-0.569247,-0.569247,-0.73209,1.665539,-1.147243,0.239099,-0.57066,0,4
asymmetric_scatter,1.5,0,3,1.483256,1.483256,-1.223583,1.573486,-1.099618,0.239099,-0.57066,0,4
asymmetric_scatter,1.5,0,4,1.070658,1.070658,-1.024833,1.951562,-1.29499,0.239099,-0.57066,0,4
asymmetric_scatter,1.5,1,2,2.409417,2.409417,-1.180362,2.227284,-1.4375,0.239099,-0.57066,0,4
asymmetric_scatter,1.5,1,3,2.932969,2.932969,-1.126205,2.177093,-1.411603,0.239099,-0.57066,0,4
asymmetric_scatter,1.5,1,4,-0.087147,-0.087147,-1.223583,1.889097,-1.262788,0.239099,-0.57066,0,4
asymmetric_scatter,1.5,2,3,0.893117,0.893117,-0.997581,1.978521,-1.30898,0.239099,-0.57066,0,4
asymmetric_scatter,1.5,2,4,2.654047,2.654047,-1.223583,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,1.5,3,4,0.73705,0.73705,-1.223583,2.056766,-1.349441,0.239099,-0.57066,0,4
asymmetric_scatter,1.75,0,1,0.947636,0.947636,-0.805514,1.258751,-0.936916,0.239099,-0.57066,0,4
asymmetric_scatter,1.75,0,2,-0.429162,-0.429162,-0.479877,1.497651,-1.060408,0.239099,-0.57066,0,4
asymmetric_scatter,1.75,0,3,0.834436,0.834436,-1.223583,1.12878,-0.869804,0.239099,-0.57066,0,4
asymmetric_scatter,1.75,0,4,0.732223,0.732223,-1.223583,1.586855,-1.106574,0.239099,-0.57066,0,4
asymmetric_scatter,1.75,1,2,2.662869,2.662869,-1.223583,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,1.75,1,3,3.402333,3.402333,-1.223583,2.238024,-1.443023,0.239099,-0.57066,0,4
asymmetric_scatter,1.75,1,4,-0.682364,-0.682364,-1.223583,1.632663,-1.130178,0.239099,-0.57066,0,4
asymmetric_scatter,1.75,2,3,1.049183,1.049183,-1.067621,1.964274,-1.301607,0.239099,-0.57066,0,4
asymmetric_scatter,1.75,2,4,2.368882,2.368882,-1.223583,2.238462,-1.44331,0.239099,-0.57066,0,4
asymmetric_scatter,1.75,3,4,0.753198,0.753198,-1.059463,1.987069,-1.313383,0.239099,-0.57066,0,4
asymmetric_scatter,2.0,0,1,0.624266,0.624266,-0.515461,1.265983,-0.94072,0.239099,-0.57066,0,4
