scenario_id,time_s,src_uav,dst_uav,dist3d_m,dist2d_m,rssi_dbm_est,snr_db_est,plr_pct_est,throughput_mbps_est,link_state,link_state_int,hop_count,blocked_building_count,optimal_relay_uav
altitude_step,0.0,0,1,50.0,30.0,-71.35,33.65,0.0,20.67,healthy,0,1,0,2
altitude_step,0.0,0,2,29.15,21.21,-73.64,31.36,0.0,20.44,healthy,0,1,0,4
altitude_step,0.0,0,3,58.31,42.43,-81.23,23.77,5.23,5.38,degraded,1,1,0,2
altitude_step,0.0,0,4,30.0,30.0,-78.51,26.49,0.0,5.65,degraded,1,1,0,2
altitude_step,0.0,1,2,29.15,21.21,-61.69,43.31,12.78,21.63,degraded,1,1,0,3
altitude_step,0.0,1,3,30.0,30.0,-72.05,32.95,2.12,20.59,healthy,0,1,0,2
altitude_step,0.0,1,4,58.31,42.43,-95.19,9.81,84.29,0.74,disconnected,2,2,0,2
altitude_step,0.0,2,3,29.15,21.21,-63.85,41.15,0.0,21.41,healthy,0,1,0,1
altitude_step,0.0,2,4,29.15,21.21,-75.85,29.15,0.0,20.21,healthy,0,1,0,0
altitude_step,0.0,3,4,50.0,30.0,-73.29,31.71,0.0,20.47,healthy,0,1,0,2
altitude_step,0.25,0,1,49.85,29.75,-68.28,36.72,0.0,20.97,healthy,0,1,0,2
altitude_step,0.25,0,2,29.09,21.12,-74.01,30.99,0.0,20.4,healthy,0,1,0,4
altitude_step,0.25,0,3,58.31,42.43,-89.2,15.8,37.55,1.04,disconnected,2,2,0,2
altitude_step,0.25,0,4,30.0,30.0,-74.49,30.51,0.0,20.35,healthy,0,1,0,2
altitude_step,0.25,1,2,29.09,21.12,-69.11,35.89,11.16,20.89,degraded,1,1,0,3
altitude_step,0.25,1,3,30.0,30.0,-72.88,32.12,2.57,20.51,healthy,0,1,0,2
altitude_step,0.25,1,4,58.31,42.43,-94.04,10.96,75.17,0.8,disconnected,2,2,0,2
altitude_step,0.25,2,3,29.22,21.3,-61.03,43.97,0.41,21.7,healthy,0,1,0,1
altitude_step,0.25,2,4,29.22,21.3,-82.78,22.22,6.74,5.22,degraded,1,1,0,0
altitude_step,0.25,3,4,50.15,30.25,-77.38,27.62,0.0,20.06,healthy,0,1,0,2
altitude_step,0.5,0,1,49.7,29.5,-71.08,33.92,0.0,20.69,healthy,0,1,0,2
altitude_step,0.5,0,2,29.03,21.04,-79.61,25.39,4.41,5.54,degraded,1,1,0,4
altitude_step,0.5,0,3,58.31,42.43,-91.52,13.48,51.21,0.92,disconnected,2,2,0,2
altitude_step,0.5,0,4,30.0,30.0,-70.29,34.71,0.0,20.77,healthy,0,1,0,2
altitude_step,0.5,1,2,29.03,21.04,-68.49,36.51,8.31,20.95,degraded,1,1,0,3
altitude_step,0.5,1,3,30.0,30.0,-69.64,35.36,0.0,20.84,healthy,0,1,0,2
altitude_step,0.5,1,4,58.31,42.43,-91.09,13.91,58.65,0.95,disconnected,2,2,0,2
altitude_step,0.5,2,3,29.28,21.39,-66.05,38.95,0.0,21.2,healthy,0,1,0,1
altitude_step,0.5,2,4,29.28,21.39,-78.6,26.4,0.0,5.64,degraded,1,1,0,0
altitude_step,0.5,3,4,50.3,30.5,-80.21,24.79,0.0,5.48,degraded,1,1,0,2
altitude_step,0.75,0,1,49.55,29.25,-75.99,29.01,0.0,20.2,healthy,0,1,0,2
altitude_step,0.75,0,2,28.96,20.95,-83.48,21.52,9.39,5.15,degraded,1,1,0,4
altitude_step,0.75,0,3,58.31,42.43,-92.82,12.18,52.25,0.86,disconnected,2,2,0,2
altitude_step,0.75,0,4,30.01,30.01,-71.19,33.81,1.48,20.68,healthy,0,1,0,2
altitude_step,0.75,1,2,28.96,20.95,-63.74,41.26,1.58,21.43,healthy,0,1,0,3
altitude_step,0.75,1,3,30.01,30.01,-67.15,37.85,0.9,21.09,healthy,0,1,0,2
altitude_step,0.75,1,4,58.31,42.43,-87.5,17.5,42.98,1.12,disconnected,2,2,0,2
altitude_step,0.75,2,3,29.35,21.48,-64.19,40.81,0.0,21.38,healthy,0,1,0,1
altitude_step,0.75,2,4,29.35,21.48,-72.7,32.3,0.0,20.53,healthy,0,1,0,0
altitude_step,0.75,3,4,50.45,30.75,-76.39,28.61,0.0,20.16,healthy,0,1,0,2
altitude_step,1.0,0,1,49.41,29.0,-71.19,33.81,0.0,20.68,healthy,0,1,0,2
altitude_step,1.0,0,2,28.9,20.86,-79.1,25.9,0.0,5.59,degraded,1,1,0,4
altitude_step,1.0,0,3,58.31,42.43,-87.27,17.73,23.29,1.14,disconnected,2,2,0,2
altitude_step,1.0,0,4,30.02,30.02,-78.22,26.78,2.92,5.68,degraded,1,1,0,2
altitude_step,1.0,1,2,28.9,20.86,-68.19,36.81,0.57,20.98,healthy,0,1,0,3
altitude_step,1.0,1,3,30.02,30.02,-66.54,38.46,0.0,21.15,healthy,0,1,0,2
altitude_step,1.0,1,4,58.31,42.43,-82.82,22.18,20.02,5.22,disconnected,2,2,0,2
altitude_step,1.0,2,3,29.42,21.57,-62.53,42.47,0.0,21.55,healthy,0,1,0,1
altitude_step,1.0,2,4,29.42,21.57,-75.81,29.19,0.0,20.22,healthy,0,1,0,0
altitude_step,1.0,3,4,50.61,31.0,-75.33,29.67,0.0,20.27,healthy,0,1,0,2
altitude_step,1.25,0,1,49.26,28.75,-68.94,36.06,0.0,20.91,healthy,0,1,0,2
altitude_step,1.25,0,2,28.84,20.78,-83.1,21.9,2.46,5.19,degraded,1,1,0,4
altitude_step,1.25,0,3,58.31,42.43,-86.13,18.87,22.39,1.19,disconnected,2,2,0,2
altitude_step,1.25,0,4,30.03,30.03,-76.5,28.5,0.0,20.15,healthy,0,1,0,2
altitude_step,1.25,1,2,28.84,20.78,-66.37,38.63,0.0,21.16,healthy,0,1,0,3
altitude_step,1.25,1,3,30.03,30.03,-61.03,43.97,2.35,21.7,healthy,0,1,0,2
altitude_step,1.25,1,4,58.31,42.43,-83.86,21.14,16.49,5.11,degraded,1,1,0,2
altitude_step,1.25,2,3,29.48,21.66,-66.99,38.01,0.0,21.1,healthy,0,1,0,1
altitude_step,1.25,2,4,29.48,21.66,-78.39,26.61,0.0,5.66,degraded,1,1,0,0
altitude_step,1.25,3,4,50.76,31.25,-83.14,21.86,0.12,5.19,degraded,1,1,0,2
altitude_step,1.5,0,1,49.11,28.5,-70.87,34.13,0.0,20.71,healthy,0,1,0,2
altitude_step,1.5,0,2,28.78,20.69,-78.84,26.16,0.0,5.62,degraded,1,1,0,4
altitude_step,1.5,0,3,58.31,42.43,-90.33,14.67,44.03,0.98,disconnected,2,2,0,2
altitude_step,1.5,0,4,30.04,30.04,-83.32,21.68,3.87,5.17,degraded,1,1,0,2
altitude_step,1.5,1,2,28.78,20.69,-71.13,33.87,0.37,20.69,healthy,0,1,0,3
altitude_step,1.5,1,3,30.04,30.04,-57.93,47.07,1.86,22.01,healthy,0,1,0,2
altitude_step,1.5,1,4,58.31,42.43,-86.81,18.19,36.36,1.16,disconnected,2,2,0,2
altitude_step,1.5,2,3,29.55,21.75,-61.61,43.39,0.0,21.64,healthy,0,1,0,1
altitude_step,1.5,2,4,29.55,21.75,-74.75,30.25,0.0,20.33,healthy,0,1,0,0
altitude_step,1.5,3,4,50.91,31.5,-85.01,19.99,8.34,1.25,disconnected,2,2,0,2
altitude_step,1.75,0,1,48.97,28.25,-69.68,35.32,0.0,20.83,healthy,0,1,0,2
