scenario_id,time_s,uav_id,x_m,y_m,z_m,speed_mps,role
altitude_step,0.0,0,45.0,75.0,50.0,5.0249,peripheral
altitude_step,0.0,1,45.0,45.0,10.0,5.0249,peripheral
altitude_step,0.0,2,60.0,60.0,30.0,5.0,relay_anchor
altitude_step,0.0,3,75.0,45.0,10.0,5.0249,peripheral
altitude_step,0.0,4,75.0,75.0,50.0,5.0249,peripheral
altitude_step,0.25,0,46.25,74.875,50.0,5.0249,peripheral
altitude_step,0.25,1,46.25,45.125,10.0,5.0249,peripheral
altitude_step,0.25,2,61.25,60.0,30.0,5.0,relay_anchor
altitude_step,0.25,3,76.25,44.875,10.0,5.0249,peripheral
altitude_step,0.25,4,76.25,75.125,50.0,5.0249,peripheral
altitude_step,0.5,0,47.5,74.75,50.0,5.0249,peripheral
altitude_step,0.5,1,47.5,45.25,10.0,5.0249,peripheral
altitude_step,0.5,2,62.5,60.0,30.0,5.0,relay_anchor
altitude_step,0.5,3,77.5,44.75,10.0,5.0249,peripheral
altitude_step,0.5,4,77.5,75.25,50.0,5.0249,peripheral
altitude_step,0.75,0,48.75,74.625,50.0,5.0249,peripheral
altitude_step,0.75,1,48.75,45.375,10.0,5.0249,peripheral
altitude_step,0.75,2,63.75,60.0,30.0,5.0,relay_anchor
altitude_step,0.75,3,78.75,44.625,10.0,5.0249,peripheral
altitude_step,0.75,4,78.75,75.375,50.0,5.0249,peripheral
altitude_step,1.0,0,50.0,74.5,50.0,5.0249,peripheral
altitude_step,1.0,1,50.0,45.5,10.0,5.0249,peripheral
altitude_step,1.0,2,65.0,60.0,30.0,5.0,relay_anchor
altitude_step,1.0,3,80.0,44.5,10.0,5.0249,peripheral
altitude_step,1.0,4,80.0,75.5,50.0,5.0249,peripheral
altitude_step,1.25,0,51.25,74.375,50.0,5.0249,peripheral
altitude_step,1.25,1,51.25,45.625,10.0,5.0249,peripheral
altitude_step,1.25,2,66.25,60.0,30.0,5.0,relay_anchor
altitude_step,1.25,3,81.25,44.375,10.0,5.0249,peripheral
altitude_step,1.25,4,81.25,75.625,50.0,5.0249,peripheral
altitude_step,1.5,0,52.5,74.25,50.0,5.0249,peripheral
altitude_step,1.5,1,52.5,45.75,10.0,5.0249,peripheral
altitude_step,1.5,2,67.5,60.0,30.0,5.0,relay_anchor
altitude_step,1.5,3,82.5,44.25,10.0,5.0249,peripheral
altitude_step,1.5,4,82.5,75.75,50.0,5.0249,peripheral
altitude_step,1.75,0,53.75,74.125,50.0,5.0249,peripheral
altitude_step,1.75,1,53.75,45.875,10.0,5.0249,peripheral
altitude_step,1.75,2,68.75,60.0,30.0,5.0,relay_anchor
altitude_step,1.75,3,83.75,44.125,10.0,5.0249,peripheral
altitude_step,1.75,4,83.75,75.875,50.0,5.0249,peripheral
altitude_step,2.0,0,55.0,74.0,50.0,5.0249,peripheral
altitude_step,2.0,1,55.0,46.0,10.0,5.0249,peripheral
altitude_step,2.0,2,70.0,60.0,30.0,5.0,relay_anchor
altitude_step,2.0,3,85.0,44.0,10.0,5.0249,peripheral
altitude_step,2.0,4,85.0,76.0,50.0,5.0249,peripheral
altitude_step,2.25,0,56.25,73.875,50.0,5.0249,peripheral
altitude_step,2.25,1,56.25,46.125,10.0,5.0249,peripheral
altitude_step,2.25,2,71.25,60.0,30.0,5.0,relay_anchor
altitude_step,2.25,3,86.25,43.875,10.0,5.0249,peripheral
altitude_step,2.25,4,86.25,76.125,50.0,5.0249,peripheral
altitude_step,2.5,0,57.5,73.75,50.0,5.0249,peripheral
altitude_step,2.5,1,57.5,46.25,10.0,5.0249,peripheral
altitude_step,2.5,2,72.5,60.0,30.0,5.0,relay_anchor
altitude_step,2.5,3,87.5,43.75,10.0,5.0249,peripheral
altitude_step,2.5,4,87.5,76.25,50.0,5.0249,peripheral
altitude_step,2.75,0,58.75,73.625,50.0,5.0249,peripheral
altitude_step,2.75,1,58.75,46.375,10.0,5.0249,peripheral
altitude_step,2.75,2,73.75,60.0,30.0,5.0,relay_anchor
altitude_step,2.75,3,88.75,43.625,10.0,5.0249,peripheral
altitude_step,2.75,4,88.75,76.375,50.0,5.0249,peripheral
altitude_step,3.0,0,60.0,73.5,50.0,5.0249,peripheral
altitude_step,3.0,1,60.0,46.5,10.0,5.0249,peripheral
altitude_step,3.0,2,75.0,60.0,30.0,5.0,relay_anchor
altitude_step,3.0,3,90.0,43.5,10.0,5.0249,peripheral
altitude_step,3.0,4,90.0,76.5,50.0,5.0249,peripheral
altitude_step,3.25,0,61.25,73.375,50.0,5.0249,peripheral
altitude_step,3.25,1,61.25,46.625,10.0,5.0249,peripheral
altitude_step,3.25,2,76.25,60.0,30.0,5.0,relay_anchor
altitude_step,3.25,3,91.25,43.375,10.0,5.0249,peripheral
altitude_step,3.25,4,91.25,76.625,50.0,5.0249,peripheral
altitude_step,3.5,0,62.5,73.25,50.0,5.0249,peripheral
altitude_step,3.5,1,62.5,46.75,10.0,5.0249,peripheral
altitude_step,3.5,2,77.5,60.0,30.0,5.0,relay_anchor
altitude_step,3.5,3,92.5,43.25,10.0,5.0249,peripheral
altitude_step,3.5,4,92.5,76.75,50.0,5.0249,peripheral
altitude_step,3.75,0,63.75,73.125,50.0,5.0249,peripheral
altitude_step,3.75,1,63.75,46.875,10.0,5.0249,peripheral
altitude_step,3.75,2,78.75,60.0,30.0,5.0,relay_anchor
altitude_step,3.75,3,93.75,43.125,10.0,5.0249,peripheral
altitude_step,3.75,4,93.75,76.875,50.0,5.0249,peripheral
altitude_step,4.0,0,65.0,73.0,50.0,5.0249,peripheral
altitude_step,4.0,1,65.0,47.0,10.0,5.0249,peripheral
altitude_step,4.0,2,80.0,60.0,30.0,5.0,relay_anchor
altitude_step,4.0,3,95.0,43.0,10.0,5.0249,peripheral
altitude_step,4.0,4,95.0,77.0,50.0,5.0249,peripheral
altitude_step,4.25,0,66.25,72.875,50.0,5.0249,peripheral
altitude_step,4.25,1,66.25,47.125,10.0,5.0249,peripheral
altitude_step,4.25,2,81.25,60.0,30.0,5.0,relay_anchor
altitude_step,4.25,3,96.25,42.875,10.0,5.0249,peripheral
altitude_step,4.25,4,96.25,77.125,50.0,5.0249,peripheral
altitude_step,4.5,0,67.5,72.75,50.0,5.0249,peripheral
altitude_step,4.5,1,67.5,47.25,10.0,5.0249,peripheral
altitude_step,4.5,2,82.5,60.0,30.0,5.0,relay_anchor
altitude_step,4.5,3,97.5,42.75,10.0,5.0249,peripheral
altitude_step,4.5,4,97.5,77.25,50.0,5.0249,peripheral
altitude_step,4.75,0,68.75,72.625,50.0,5.0249,peripheral
altitude_step,4.75,1,68.75,47.375,10.0,5.0249,peripheral
altitude_step,4.75,2,83.75,60.0,30.0,5.0,relay_anchor
altitude_step,4.75,3,98.75,42.625,10.0,5.0249,peripheral
altitude_step,4.75,4,98.75,77.375,50.0,5.0249,peripheral
altitude_step,5.0,0,70.0,72.5,50.0,5.0249,peripheral
altitude_step,5.0,1,70.0,47.5,10.0,5.0249,peripheral
altitude_step,5.0,2,85.0,60.0,30.0,5.0,relay_anchor
altitude_step,5.0,3,100.0,42.5,10.0,5.0249,peripheral
altitude_step,5.0,4,100.0,77.5,50.0,5.0249,peripheral
altitude_step,5.25,0,71.25,72.375,50.0,5.0249,peripheral
altitude_step,5.25,1,71.25,47.625,10.0,5.0249,peripheral
altitude_step,5.25,2,86.25,60.0,30.0,5.0,relay_anchor
altitude_step,5.25,3,101.25,42.375,10.0,5.0249,peripheral
altitude_step,5.25,4,101.25,77.625,50.0,5.0249,peripheral
altitude_step,5.5,0,72.5,72.25,50.0,5.0249,peripheral
altitude_step,5.5,1,72.5,47.75,10.0,5.0249,peripheral
altitude_step,5.5,2,87.5,60.0,30.0,5.0,relay_anchor
altitude_step,5.5,3,102.5,42.25,10.0,5.0249,peripheral
altitude_step,5.5,4,102.5,77.75,50.0,5.0249,peripheral
altitude_step,5.75,0,73.75,72.125,50.0,5.0249,peripheral
altitude_step,5.75,1,73.75,47.875,10.0,5.0249,peripheral
altitude_step,5.75,2,88.75,60.0,30.0,5.0,relay_anchor
altitude_step,5.75,3,103.75,42.125,10.0,5.0249,peripheral
altitude_step,5.75,4,103.75,77.875,50.0,5.0249,peripheral
