scenario_id,time_s,src_uav,dst_uav,distance_m,rssi_dbm_ns3,plr_pct_ns3,link_state_ns3
relay_stretch,0.000,0,1,20.000,-72.021,-1.000,healthy
relay_stretch,0.000,0,2,10.000,-66.000,-1.000,healthy
relay_stretch,0.000,0,3,5.000,-59.979,-1.000,healthy
relay_stretch,0.000,0,4,15.000,-69.522,-1.000,healthy
relay_stretch,0.000,1,2,10.000,-66.000,-1.000,healthy
relay_stretch,0.000,1,3,15.000,-69.522,-1.000,healthy
relay_stretch,0.000,1,4,5.000,-59.979,-1.000,healthy
relay_stretch,0.000,2,3,5.000,-59.979,-1.000,healthy
relay_stretch,0.000,2,4,5.000,-59.979,-1.000,healthy
relay_stretch,0.000,3,4,10.000,-66.000,-1.000,healthy
relay_stretch,0.500,0,1,20.500,-72.235,-1.000,healthy
relay_stretch,0.500,0,2,10.680,-66.571,-1.000,healthy
relay_stretch,0.500,0,3,7.810,-63.853,-1.000,healthy
relay_stretch,0.500,0,4,16.621,-70.413,-1.000,healthy
relay_stretch,0.500,1,2,10.680,-66.571,-1.000,healthy
relay_stretch,0.500,1,3,16.621,-70.413,-1.000,healthy
relay_stretch,0.500,1,4,7.810,-63.853,-1.000,healthy
relay_stretch,0.500,2,3,6.047,-61.630,-1.000,healthy
relay_stretch,0.500,2,4,6.047,-61.630,-1.000,healthy
relay_stretch,0.500,3,4,10.500,-66.424,-1.000,healthy
relay_stretch,1.000,0,1,21.000,-72.444,100.000,disconnected
relay_stretch,1.000,0,2,12.093,-67.651,100.000,disconnected
relay_stretch,1.000,0,3,13.000,-68.279,0.000,healthy
relay_stretch,1.000,0,4,20.000,-72.021,100.000,disconnected
relay_stretch,1.000,1,2,12.093,-67.651,100.000,disconnected
relay_stretch,1.000,1,3,20.000,-72.021,100.000,disconnected
relay_stretch,1.000,1,4,13.000,-68.279,0.000,healthy
relay_stretch,1.000,2,3,8.139,-64.212,0.000,healthy
relay_stretch,1.000,2,4,8.139,-64.212,0.000,healthy
relay_stretch,1.000,3,4,11.000,-66.828,100.000,disconnected
relay_stretch,1.500,0,1,21.500,-72.649,100.000,disconnected
relay_stretch,1.500,0,2,14.020,-68.935,100.000,disconnected
relay_stretch,1.500,0,3,18.682,-71.428,0.000,healthy
relay_stretch,1.500,0,4,24.418,-73.754,100.000,disconnected
relay_stretch,1.500,1,2,14.020,-68.935,100.000,disconnected
relay_stretch,1.500,1,3,24.418,-73.754,100.000,disconnected
relay_stretch,1.500,1,4,18.682,-71.428,0.000,healthy
relay_stretch,1.500,2,3,10.680,-66.571,0.000,healthy
relay_stretch,1.500,2,4,10.680,-66.571,0.000,healthy
relay_stretch,1.500,3,4,11.500,-67.214,100.000,disconnected
relay_stretch,2.000,0,1,22.000,-72.848,100.000,disconnected
relay_stretch,2.000,0,2,16.279,-70.232,0.000,healthy
relay_stretch,2.000,0,3,24.515,-73.789,0.000,healthy
relay_stretch,2.000,0,4,29.411,-75.370,0.000,healthy
relay_stretch,2.000,1,2,16.279,-70.232,100.000,disconnected
relay_stretch,2.000,1,3,29.411,-75.370,0.000,healthy
relay_stretch,2.000,1,4,24.515,-73.789,0.000,healthy
relay_stretch,2.000,2,3,13.416,-68.553,0.000,healthy
relay_stretch,2.000,2,4,13.416,-68.553,0.000,healthy
relay_stretch,2.000,3,4,12.000,-67.584,100.000,disconnected
relay_stretch,2.500,0,1,22.500,-73.044,100.000,disconnected
relay_stretch,2.500,0,2,18.750,-71.460,0.000,healthy
relay_stretch,2.500,0,3,30.414,-75.661,0.000,healthy
relay_stretch,2.500,0,4,34.731,-76.814,0.000,healthy
relay_stretch,2.500,1,2,18.750,-71.460,100.000,disconnected
relay_stretch,2.500,1,3,34.731,-76.814,0.000,healthy
relay_stretch,2.500,1,4,30.414,-75.661,0.000,healthy
relay_stretch,2.500,2,3,16.250,-70.217,0.000,healthy
relay_stretch,2.500,2,4,16.250,-70.217,0.000,healthy
relay_stretch,2.500,3,4,12.500,-67.938,100.000,disconnected
relay_stretch,3.000,0,1,23.000,-73.235,100.000,disconnected
relay_stretch,3.000,0,2,21.360,-72.592,0.000,healthy
relay_stretch,3.000,0,3,36.346,-77.209,0.000,healthy
relay_stretch,3.000,0,4,40.249,-78.095,0.000,degraded
relay_stretch,3.000,1,2,21.360,-72.592,100.000,disconnected
relay_stretch,3.000,1,3,40.249,-78.095,0.000,degraded
relay_stretch,3.000,1,4,36.346,-77.209,0.000,healthy
relay_stretch,3.000,2,3,19.138,-71.638,0.000,healthy
relay_stretch,3.000,2,4,19.138,-71.638,0.000,healthy
relay_stretch,3.000,3,4,13.000,-68.279,100.000,disconnected
relay_stretch,3.500,0,1,23.500,-73.421,100.000,disconnected
relay_stretch,3.500,0,2,24.064,-73.627,0.000,healthy
relay_stretch,3.500,0,3,42.297,-78.526,0.000,degraded
relay_stretch,3.500,0,4,45.894,-79.235,0.000,degraded
relay_stretch,3.500,1,2,24.064,-73.627,100.000,disconnected
relay_stretch,3.500,1,3,45.894,-79.235,0.000,degraded
relay_stretch,3.500,1,4,42.297,-78.526,0.000,degraded
relay_stretch,3.500,2,3,22.058,-72.871,0.000,healthy
relay_stretch,3.500,2,4,22.058,-72.871,0.000,healthy
relay_stretch,3.500,3,4,13.500,-68.607,100.000,disconnected
relay_stretch,4.000,0,1,24.000,-73.604,100.000,disconnected
relay_stretch,4.000,0,2,26.833,-74.573,0.000,healthy
relay_stretch,4.000,0,3,48.260,-79.672,0.000,degraded
relay_stretch,4.000,0,4,51.624,-80.257,0.000,degraded
relay_stretch,4.000,1,2,26.833,-74.573,100.000,disconnected
relay_stretch,4.000,1,3,51.624,-80.257,0.000,degraded
relay_stretch,4.000,1,4,48.260,-79.672,0.000,degraded
relay_stretch,4.000,2,3,25.000,-73.959,0.000,healthy
relay_stretch,4.000,2,4,25.000,-73.959,0.000,healthy
relay_stretch,4.000,3,4,14.000,-68.923,100.000,disconnected
relay_stretch,4.500,0,1,24.500,-73.783,100.000,disconnected
relay_stretch,4.500,0,2,29.649,-75.440,0.000,healthy
relay_stretch,4.500,0,3,54.231,-80.685,0.000,degraded
relay_stretch,4.500,0,4,57.413,-81.180,0.000,degraded
relay_stretch,4.500,1,2,29.649,-75.440,100.000,disconnected
relay_stretch,4.500,1,3,57.413,-81.180,0.000,degraded
relay_stretch,4.500,1,4,54.231,-80.685,0.000,degraded
relay_stretch,4.500,2,3,27.956,-74.930,0.000,healthy
relay_stretch,4.500,2,4,27.956,-74.930,0.000,healthy
relay_stretch,4.500,3,4,14.500,-69.227,100.000,disconnected
relay_stretch,5.000,0,1,25.000,-73.959,100.000,disconnected
relay_stretch,5.000,0,2,32.500,-76.238,0.000,healthy
relay_stretch,5.000,0,3,60.208,-81.593,0.000,degraded
relay_stretch,5.000,0,4,63.246,-82.021,0.000,degraded
relay_stretch,5.000,1,2,32.500,-76.238,100.000,disconnected
relay_stretch,5.000,1,3,63.246,-82.021,0.000,degraded
relay_stretch,5.000,1,4,60.208,-81.593,0.000,degraded
relay_stretch,5.000,2,3,30.923,-75.806,0.000,healthy
relay_stretch,5.000,2,4,30.923,-75.806,0.000,healthy
relay_stretch,5.000,3,4,15.000,-69.522,100.000,disconnected
relay_stretch,5.500,0,1,25.500,-74.131,100.000,disconnected
relay_stretch,5.500,0,2,35.377,-76.975,0.000,healthy
relay_stretch,5.500,0,3,66.189,-82.416,40.000,disconnected
relay_stretch,5.500,0,4,69.110,-82.791,100.000,disconnected
relay_stretch,5.500,1,2,35.377,-76.975,100.000,disconnected
relay_stretch,5.500,1,3,69.110,-82.791,100.000,disconnected
relay_stretch,5.500,1,4,66.189,-82.416,60.000,disconnected
relay_stretch,5.500,2,3,33.898,-76.603,0.000,healthy
relay_stretch,5.500,2,4,33.898,-76.603,0.000,healthy
relay_stretch,5.500,3,4,15.500,-69.807,100.000,disconnected
relay_stretch,6.000,0,1,26.000,-74.299,100.000,disconnected
relay_stretch,6.000,0,2,38.275,-77.658,0.000,healthy
relay_stretch,6.000,0,3,72.173,-83.168,100.000,disconnected
relay_stretch,6.000,0,4,75.000,-83.501,100.000,disconnected
relay_stretch,6.000,1,2,38.275,-77.658,100.000,disconnected
relay_stretch,6.000,1,3,75.000,-83.501,100.000,disconnected
relay_stretch,6.000,1,4,72.173,-83.168,100.000,disconnected
relay_stretch,6.000,2,3,36.878,-77.335,0.000,healthy
relay_stretch,6.000,2,4,36.878,-77.335,0.000,healthy
relay_stretch,6.000,3,4,16.000,-70.082,100.000,disconnected
relay_stretch,6.500,0,1,26.500,-74.465,100.000,disconnected
relay_stretch,6.500,0,2,41.189,-78.296,0.000,degraded
relay_stretch,6.500,0,3,78.160,-83.860,100.000,disconnected
relay_stretch,6.500,0,4,80.909,-84.160,100.000,disconnected
relay_stretch,6.500,1,2,41.189,-78.296,100.000,disconnected
relay_stretch,6.500,1,3,80.909,-84.160,100.000,disconnected
relay_stretch,6.500,1,4,78.160,-83.860,100.000,disconnected
relay_stretch,6.500,2,3,39.863,-78.011,0.000,degraded
relay_stretch,6.500,2,4,39.863,-78.011,0.000,degraded
relay_stretch,6.500,3,4,16.500,-70.350,100.000,disconnected
relay_stretch,7.000,0,1,27.000,-74.627,100.000,disconnected
relay_stretch,7.000,0,2,44.116,-78.892,0.000,degraded
relay_stretch,7.000,0,3,84.149,-84.501,100.000,disconnected
relay_stretch,7.000,0,4,86.833,-84.774,100.000,disconnected
relay_stretch,7.000,1,2,44.116,-78.892,100.000,disconnected
relay_stretch,7.000,1,3,86.833,-84.774,100.000,disconnected
relay_stretch,7.000,1,4,84.149,-84.501,100.000,disconnected
relay_stretch,7.000,2,3,42.851,-78.639,0.000,degraded
relay_stretch,7.000,2,4,42.851,-78.639,0.000,degraded
relay_stretch,7.000,3,4,17.000,-70.609,100.000,disconnected
relay_stretch,7.500,0,1,27.500,-74.787,100.000,disconnected
relay_stretch,7.500,0,2,47.054,-79.452,0.000,degraded
relay_stretch,7.500,0,3,90.139,-85.098,100.000,disconnected
relay_stretch,7.500,0,4,92.770,-85.348,100.000,disconnected
relay_stretch,7.500,1,2,47.054,-79.452,100.000,disconnected
relay_stretch,7.500,1,3,92.770,-85.348,100.000,disconnected
relay_stretch,7.500,1,4,90.139,-85.098,100.000,disconnected
relay_stretch,7.500,2,3,45.843,-79.225,0.000,degraded
relay_stretch,7.500,2,4,45.843,-79.225,0.000,degraded
relay_stretch,7.500,3,4,17.500,-70.861,100.000,disconnected
relay_stretch,8.000,0,1,28.000,-74.943,100.000,disconnected
relay_stretch,8.000,0,2,50.000,-79.979,0.000,degraded
relay_stretch,8.000,0,3,96.130,-85.657,100.000,disconnected
relay_stretch,8.000,0,4,98.717,-85.888,100.000,disconnected
relay_stretch,8.000,1,2,50.000,-79.979,100.000,disconnected
relay_stretch,8.000,1,3,98.717,-85.888,100.000,disconnected
relay_stretch,8.000,1,4,96.130,-85.657,100.000,disconnected
relay_stretch,8.000,2,3,48.836,-79.775,0.000,degraded
relay_stretch,8.000,2,4,48.836,-79.775,0.000,degraded
relay_stretch,8.000,3,4,18.000,-71.105,100.000,disconnected
relay_stretch,8.500,0,1,28.500,-75.097,100.000,disconnected
relay_stretch,8.500,0,2,52.953,-80.478,0.000,degraded
relay_stretch,8.500,0,3,102.122,-86.182,100.000,disconnected
relay_stretch,8.500,0,4,104.672,-86.397,100.000,disconnected
relay_stretch,8.500,1,2,52.953,-80.478,100.000,disconnected
relay_stretch,8.500,1,3,104.672,-86.397,100.000,disconnected
relay_stretch,8.500,1,4,102.122,-86.182,100.000,disconnected
relay_stretch,8.500,2,3,51.832,-80.292,0.000,degraded
relay_stretch,8.500,2,4,51.832,-80.292,0.000,degraded
relay_stretch,8.500,3,4,18.500,-71.343,100.000,disconnected
relay_stretch,9.000,0,1,29.000,-75.248,100.000,disconnected
relay_stretch,9.000,0,2,55.913,-80.950,0.000,degraded
relay_stretch,9.000,0,3,108.116,-86.678,100.000,disconnected
relay_stretch,9.000,0,4,110.635,-86.878,100.000,disconnected
relay_stretch,9.000,1,2,55.913,-80.950,100.000,disconnected
relay_stretch,9.000,1,3,110.635,-86.878,100.000,disconnected
relay_stretch,9.000,1,4,108.116,-86.678,100.000,disconnected
relay_stretch,9.000,2,3,54.829,-80.780,0.000,degraded
relay_stretch,9.000,2,4,54.829,-80.780,0.000,degraded
relay_stretch,9.000,3,4,19.000,-71.575,100.000,disconnected
relay_stretch,9.500,0,1,29.500,-75.396,100.000,disconnected
relay_stretch,9.500,0,2,58.878,-81.399,0.000,degraded
relay_stretch,9.500,0,3,114.110,-87.146,100.000,disconnected
relay_stretch,9.500,0,4,116.603,-87.334,100.000,disconnected
relay_stretch,9.500,1,2,58.878,-81.399,100.000,disconnected
relay_stretch,9.500,1,3,116.603,-87.334,100.000,disconnected
relay_stretch,9.500,1,4,114.110,-87.146,100.000,disconnected
relay_stretch,9.500,2,3,57.828,-81.243,0.000,degraded
relay_stretch,9.500,2,4,57.828,-81.243,0.000,degraded
relay_stretch,9.500,3,4,19.500,-71.801,100.000,disconnected
relay_stretch,10.000,0,1,30.000,-75.542,100.000,disconnected
relay_stretch,10.000,0,2,61.847,-81.826,0.000,degraded
relay_stretch,10.000,0,3,120.104,-87.591,100.000,disconnected
relay_stretch,10.000,0,4,122.577,-87.768,100.000,disconnected
relay_stretch,10.000,1,2,61.847,-81.826,100.000,disconnected
relay_stretch,10.000,1,3,122.577,-87.768,100.000,disconnected
relay_stretch,10.000,1,4,120.104,-87.591,100.000,disconnected
relay_stretch,10.000,2,3,60.828,-81.682,0.000,degraded
relay_stretch,10.000,2,4,60.828,-81.682,0.000,degraded
relay_stretch,10.000,3,4,20.000,-72.021,100.000,disconnected
relay_stretch,10.500,0,1,30.500,-75.686,100.000,disconnected
relay_stretch,10.500,0,2,64.819,-82.234,40.000,disconnected
relay_stretch,10.500,0,3,126.099,-88.014,100.000,disconnected
relay_stretch,10.500,0,4,128.554,-88.182,100.000,disconnected
relay_stretch,10.500,1,2,64.819,-82.234,100.000,disconnected
relay_stretch,10.500,1,3,128.554,-88.182,100.000,disconnected
relay_stretch,10.500,1,4,126.099,-88.014,100.000,disconnected
relay_stretch,10.500,2,3,63.828,-82.100,20.000,degraded
relay_stretch,10.500,2,4,63.828,-82.100,20.000,degraded
relay_stretch,10.500,3,4,20.500,-72.235,100.000,disconnected
relay_stretch,11.000,0,1,31.000,-75.827,100.000,disconnected
relay_stretch,11.000,0,2,67.796,-82.624,100.000,disconnected
relay_stretch,11.000,0,3,132.095,-88.418,100.000,disconnected
relay_stretch,11.000,0,4,134.536,-88.577,100.000,disconnected
relay_stretch,11.000,1,2,67.796,-82.624,100.000,disconnected
relay_stretch,11.000,1,3,134.536,-88.577,100.000,disconnected
relay_stretch,11.000,1,4,132.095,-88.418,100.000,disconnected
relay_stretch,11.000,2,3,66.830,-82.499,100.000,disconnected
relay_stretch,11.000,2,4,66.830,-82.499,100.000,disconnected
relay_stretch,11.000,3,4,21.000,-72.444,100.000,disconnected
relay_stretch,11.500,0,1,31.500,-75.966,100.000,disconnected
relay_stretch,11.500,0,2,70.775,-82.998,100.000,disconnected
relay_stretch,11.500,0,3,138.091,-88.803,100.000,disconnected
relay_stretch,11.500,0,4,140.521,-88.955,100.000,disconnected
relay_stretch,11.500,1,2,70.775,-82.998,100.000,disconnected
relay_stretch,11.500,1,3,140.521,-88.955,100.000,disconnected
relay_stretch,11.500,1,4,138.091,-88.803,100.000,disconnected
relay_stretch,11.500,2,3,69.832,-82.881,100.000,disconnected
relay_stretch,11.500,2,4,69.832,-82.881,100.000,disconnected
relay_stretch,11.500,3,4,21.500,-72.649,100.000,disconnected
relay_stretch,12.000,0,1,32.000,-76.103,100.000,disconnected
relay_stretch,12.000,0,2,73.756,-83.356,100.000,disconnected
relay_stretch,12.000,0,3,144.087,-89.172,100.000,disconnected
relay_stretch,12.000,0,4,146.509,-89.317,100.000,disconnected
relay_stretch,12.000,1,2,73.756,-83.356,100.000,disconnected
