time_s,uav_id,x,y,z
0.500000,0,0.750000,0.200000,30.000000
0.500000,1,25.750000,-0.200000,30.000000
0.500000,2,50.750000,0.200000,30.000000
0.500000,3,75.750000,-0.200000,30.000000
0.500000,4,100.750000,0.200000,30.000000
1.500000,0,2.250000,0.600000,30.000000
1.500000,1,27.250000,-0.600000,30.000000
1.500000,2,52.250000,0.600000,30.000000
1.500000,3,77.250000,-0.600000,30.000000
1.500000,4,102.250000,0.600000,30.000000
2.500000,0,3.750000,1.000000,30.000000
2.500000,1,28.750000,-1.000000,30.000000
2.500000,2,53.750000,1.000000,30.000000
2.500000,3,78.750000,-1.000000,30.000000
2.500000,4,103.750000,1.000000,30.000000
3.500000,0,5.250000,1.400000,30.000000
3.500000,1,30.250000,-1.400000,30.000000
3.500000,2,55.250000,1.400000,30.000000
3.500000,3,80.250000,-1.400000,30.000000
3.500000,4,105.250000,1.400000,30.000000
4.500000,0,6.750000,1.800000,30.000000
4.500000,1,31.750000,-1.800000,30.000000
4.500000,2,56.750000,1.800000,30.000000
4.500000,3,81.750000,-1.800000,30.000000
4.500000,4,106.750000,1.800000,30.000000
5.500000,0,8.250000,2.200000,30.000000
5.500000,1,33.250000,-2.200000,30.000000
5.500000,2,58.250000,2.200000,30.000000
5.500000,3,83.250000,-2.200000,30.000000
5.500000,4,108.250000,2.200000,30.000000
6.500000,0,9.750000,2.600000,30.000000
6.500000,1,34.750000,-2.600000,30.000000
6.500000,2,59.750000,2.600000,30.000000
6.500000,3,84.750000,-2.600000,30.000000
6.500000,4,109.750000,2.600000,30.000000
7.500000,0,11.250000,3.000000,30.000000
7.500000,1,36.250000,-3.000000,30.000000
7.500000,2,61.250000,3.000000,30.000000
7.500000,3,86.250000,-3.000000,30.000000
7.500000,4,111.250000,3.000000,30.000000
8.500000,0,12.750000,3.400000,30.000000
8.500000,1,37.750000,-3.400000,30.000000
8.500000,2,62.750000,3.400000,30.000000
8.500000,3,87.750000,-3.400000,30.000000
8.500000,4,112.750000,3.400000,30.000000
9.500000,0,14.250000,3.800000,30.000000
9.500000,1,39.250000,-3.800000,30.000000
9.500000,2,64.250000,3.800000,30.000000
9.500000,3,89.250000,-3.800000,30.000000
9.500000,4,114.250000,3.800000,30.000000
