time_s,seq_no,rtt_ms,context
4.020954,0,20.000000,/NodeList/0/ApplicationList/0/$ns3::Ping/Rtt
5.000773,1,0.000000,/NodeList/0/ApplicationList/0/$ns3::Ping/Rtt
6.000853,2,0.000000,/NodeList/0/ApplicationList/0/$ns3::Ping/Rtt
7.000753,3,0.000000,/NodeList/0/ApplicationList/0/$ns3::Ping/Rtt
8.003729,4,3.000000,/NodeList/0/ApplicationList/0/$ns3::Ping/Rtt
9.000813,5,0.000000,/NodeList/0/ApplicationList/0/$ns3::Ping/Rtt
10.000693,6,0.000000,/NodeList/0/ApplicationList/0/$ns3::Ping/Rtt
11.000673,7,0.000000,/NodeList/0/ApplicationList/0/$ns3::Ping/Rtt
12.000733,8,0.000000,/NodeList/0/ApplicationList/0/$ns3::Ping/Rtt
13.000673,9,0.000000,/NodeList/0/ApplicationList/0/$ns3::Ping/Rtt
