scenario_id,time_s,src_uav,dst_uav,distance_m,hop_count,blocked_building_count,rssi_dbm_est,snr_db_est,plr_pct_est,rtt_ms_est,throughput_mbps_est,link_state,optimal_relay_uav
cluster_split_2,0.2500,0,1,4.500,1,0,-47.929,47.071,0.500,8.990,14.965,healthy,2
cluster_split_2,0.2500,0,2,3.021,0,0,-95.000,0.000,70.000,8.665,15.305,disconnected,2
cluster_split_2,0.2500,0,3,2.693,0,0,-95.000,0.000,70.000,8.592,15.381,disconnected,2
cluster_split_2,0.2500,0,4,6.042,0,0,-95.000,0.000,70.000,9.329,14.610,disconnected,2
cluster_split_2,0.2500,1,2,2.151,1,0,-38.961,56.039,0.500,8.473,15.505,healthy,2
cluster_split_2,0.2500,1,3,4.301,1,0,-47.089,47.911,0.500,8.946,15.011,healthy,2
cluster_split_2,0.2500,1,4,2.693,1,0,-38.258,56.742,0.500,8.592,15.381,healthy,2
cluster_split_2,0.2500,2,3,2.151,0,0,-95.000,0.000,70.000,8.473,15.505,disconnected,2
cluster_split_2,0.2500,2,4,3.021,0,0,-95.000,0.000,70.000,8.665,15.305,disconnected,2
cluster_split_2,0.2500,3,4,4.500,0,0,-95.000,0.000,70.000,8.990,14.965,disconnected,2
cluster_split_2,0.5000,0,1,5.000,1,0,-48.589,46.411,0.500,9.100,14.850,healthy,2
cluster_split_2,0.5000,0,2,4.301,1,0,-44.251,50.749,0.500,8.946,15.011,healthy,2
cluster_split_2,0.5000,0,3,5.385,1,0,-47.302,47.698,0.500,9.185,14.761,healthy,2
cluster_split_2,0.5000,0,4,8.602,1,0,-53.314,41.686,0.500,9.893,14.021,healthy,2
cluster_split_2,0.5000,1,2,2.915,1,0,-39.814,55.186,0.500,8.641,15.329,healthy,2
cluster_split_2,0.5000,1,3,5.831,1,0,-51.111,43.889,0.500,9.283,14.659,healthy,2
cluster_split_2,0.5000,1,4,5.385,1,0,-46.893,48.107,0.500,9.185,14.761,healthy,2
cluster_split_2,0.5000,2,3,2.915,1,0,-41.399,53.601,0.500,8.641,15.329,healthy,2
cluster_split_2,0.5000,2,4,4.301,1,0,-44.825,50.175,0.500,8.946,15.011,healthy,2
cluster_split_2,0.5000,3,4,5.000,1,0,-49.200,45.800,0.500,9.100,14.850,healthy,2
cluster_split_2,0.7500,0,1,5.500,0,0,-95.000,0.000,70.000,9.210,14.735,disconnected,2
cluster_split_2,0.7500,0,2,5.668,0,0,-95.000,0.000,70.000,9.247,14.696,disconnected,2
cluster_split_2,0.7500,0,3,8.078,0,0,-95.000,0.000,70.000,9.777,14.142,disconnected,2
