scenario_id,time_s,src_uav,dst_uav,distance_m,hop_count,blocked_building_count,rssi_dbm_est,snr_db_est,plr_pct_est,rtt_ms_est,throughput_mbps_est,link_state,optimal_relay_uav
multi_disconnect_fast,0.2500,0,1,4.000,1,0,-42.899,52.101,0.500,8.880,15.080,healthy,2
multi_disconnect_fast,0.2500,0,2,2.295,0,0,-95.000,0.000,70.000,8.505,15.472,disconnected,2
multi_disconnect_fast,0.2500,0,3,3.816,0,0,-95.000,0.000,70.000,8.840,15.122,disconnected,2
multi_disconnect_fast,0.2500,0,4,2.253,0,0,-95.000,0.000,70.000,8.496,15.482,disconnected,2
multi_disconnect_fast,0.2500,1,2,2.295,1,0,-36.383,58.617,0.500,8.505,15.472,healthy,2
multi_disconnect_fast,0.2500,1,3,3.816,1,0,-42.347,52.653,0.500,8.840,15.122,healthy,2
multi_disconnect_fast,0.2500,1,4,2.465,1,0,-37.224,57.776,0.500,8.542,15.433,healthy,2
multi_disconnect_fast,0.2500,2,3,2.125,0,0,-95.000,0.000,70.000,8.467,15.511,disconnected,2
multi_disconnect_fast,0.2500,2,4,0.177,0,0,-95.000,0.000,70.000,8.039,15.959,disconnected,2
multi_disconnect_fast,0.2500,3,4,2.004,0,0,-95.000,0.000,70.000,8.441,15.539,disconnected,2
multi_disconnect_fast,0.5000,0,1,8.000,1,0,-49.203,45.797,0.500,9.760,14.160,healthy,2
multi_disconnect_fast,0.5000,0,2,4.589,1,0,-41.859,53.141,0.500,9.010,14.944,healthy,2
multi_disconnect_fast,0.5000,0,3,7.632,1,0,-51.391,43.609,0.500,9.679,14.245,healthy,2
multi_disconnect_fast,0.5000,0,4,4.507,1,0,-43.640,51.360,0.500,8.992,14.963,healthy,2
multi_disconnect_fast,0.5000,1,2,4.589,1,0,-41.031,53.969,0.500,9.010,14.944,healthy,2
multi_disconnect_fast,0.5000,1,3,7.632,1,0,-54.130,40.870,0.500,9.679,14.245,healthy,2
multi_disconnect_fast,0.5000,1,4,4.931,1,0,-45.859,49.141,0.500,9.085,14.866,healthy,2
multi_disconnect_fast,0.5000,2,3,4.250,1,0,-43.698,51.302,0.500,8.935,15.022,healthy,2
multi_disconnect_fast,0.5000,2,4,0.354,1,0,-30.678,64.322,0.500,8.078,15.919,healthy,2
multi_disconnect_fast,0.5000,3,4,4.008,1,0,-45.003,49.997,0.500,8.882,15.078,healthy,2
multi_disconnect_fast,0.7500,0,1,12.000,0,0,-95.000,0.000,70.000,10.640,13.240,disconnected,2
multi_disconnect_fast,0.7500,0,2,6.884,0,0,-95.000,0.000,70.000,9.514,14.417,disconnected,2
multi_disconnect_fast,0.7500,0,3,11.448,0,0,-95.000,0.000,70.000,10.519,13.367,disconnected,2
multi_disconnect_fast,0.7500,0,4,6.760,0,0,-95.000,0.000,70.000,9.487,14.445,disconnected,2
multi_disconnect_fast,0.7500,1,2,6.884,0,0,-95.000,0.000,70.000,9.514,14.417,disconnected,2
multi_disconnect_fast,0.7500,1,3,11.448,0,0,-95.000,0.000,70.000,10.519,13.367,disconnected,2
multi_disconnect_fast,0.7500,1,4,7.396,0,0,-95.000,0.000,70.000,9.627,14.299,disconnected,2
multi_disconnect_fast,0.7500,2,3,6.375,0,0,-95.000,0.000,70.000,9.403,14.534,disconnected,2
multi_disconnect_fast,0.7500,2,4,0.530,0,0,-95.000,0.000,70.000,8.117,15.878,disconnected,2
multi_disconnect_fast,0.7500,3,4,6.012,0,0,-95.000,0.000,70.000,9.323,14.617,disconnected,2
multi_disconnect_fast,1.0000,0,1,16.000,0,0,-95.000,0.000,70.000,11.520,12.320,disconnected,2
multi_disconnect_fast,1.0000,0,2,9.179,0,0,-95.000,0.000,70.000,10.019,13.889,disconnected,2
multi_disconnect_fast,1.0000,0,3,15.264,0,0,-95.000,0.000,70.000,11.358,12.489,disconnected,2
multi_disconnect_fast,1.0000,0,4,9.014,0,0,-95.000,0.000,70.000,9.983,13.927,disconnected,2
multi_disconnect_fast,1.0000,1,2,9.179,0,0,-95.000,0.000,70.000,10.019,13.889,disconnected,2
multi_disconnect_fast,1.0000,1,3,15.264,0,0,-95.000,0.000,70.000,11.358,12.489,disconnected,2
multi_disconnect_fast,1.0000,1,4,9.862,0,0,-95.000,0.000,70.000,10.170,13.732,disconnected,2
multi_disconnect_fast,1.0000,2,3,8.500,0,0,-95.000,0.000,70.000,9.870,14.045,disconnected,2
multi_disconnect_fast,1.0000,2,4,0.707,0,0,-95.000,0.000,70.000,8.156,15.837,disconnected,2
multi_disconnect_fast,1.0000,3,4,8.016,0,0,-95.000,0.000,70.000,9.763,14.156,disconnected,2
multi_disconnect_fast,1.2500,0,1,20.000,0,0,-95.000,0.000,70.000,12.400,11.400,disconnected,2
multi_disconnect_fast,1.2500,0,2,11.473,0,0,-95.000,0.000,70.000,10.524,13.361,disconnected,2
multi_disconnect_fast,1.2500,0,3,19.080,0,0,-95.000,0.000,70.000,12.198,11.612,disconnected,2
multi_disconnect_fast,1.2500,0,4,11.267,0,0,-95.000,0.000,70.000,10.479,13.409,disconnected,2
multi_disconnect_fast,1.2500,1,2,11.473,0,0,-95.000,0.000,70.000,10.524,13.361,disconnected,2
multi_disconnect_fast,1.2500,1,3,19.080,0,0,-95.000,0.000,70.000,12.198,11.612,disconnected,2
multi_disconnect_fast,1.2500,1,4,12.327,0,0,-95.000,0.000,70.000,10.712,13.165,disconnected,2
multi_disconnect_fast,1.2500,2,3,10.625,0,0,-95.000,0.000,70.000,10.338,13.556,disconnected,2
multi_disconnect_fast,1.2500,2,4,0.884,0,0,-95.000,0.000,70.000,8.194,15.797,disconnected,2
multi_disconnect_fast,1.2500,3,4,10.020,0,0,-95.000,0.000,70.000,10.204,13.696,disconnected,2
multi_disconnect_fast,1.5000,0,1,24.000,0,0,-95.000,0.000,70.000,13.280,10.480,disconnected,2
multi_disconnect_fast,1.5000,0,2,13.768,0,0,-95.000,0.000,70.000,11.029,12.833,disconnected,2
